Time 2,Time 1,delay 1,delay 2,jiter
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0.000164,0
0.000164,0,0.000164,0.000119,0.000164
0.000283,0.000164,0.000119,0.000047,0.000045
0.00033,0.000283,0.000047,0.000055,0.000236
0.000385,0.00033,0.000055,0.132402,0.000275
0.132787,0.000385,0.132402,0.040858,0.132017
0.173645,0.132787,0.040858,5.036394,0.091929
5.210039,0.173645,5.036394,0.224532,4.862749
5.434571,5.210039,0.224532,0.041227,4.985507
5.475798,5.434571,0.041227,1.413898,5.393344
6.889696,5.475798,1.413898,0.246906,4.0619
7.136602,6.889696,0.246906,0,6.64279
7.136602,7.136602,0,0.000135,7.136602
7.136737,7.136602,0.000135,0.080732,7.136467
7.217469,7.136737,0.080732,,
,Tot delay,7.217469,Tot jiter,40.444025
,"Rata"" delay",0.000574639,"Rata"" jiter",0.003220066
